Date,RELIANCE,TCS,BAJAJ,BHARTIARTL,TATASTEEL,HDFC,CIPLA,HAVELLS
21-04-2020,1217.230347,1709.707764,2096.362549,498.709137,253.556534,917.678284,592.099976,500.699341
20-04-2020,1223.575439,1789.405273,2304.526123,488.545624,273.053528,940.778259,585.400024,521.719177
17-04-2020,1204.09729,1777.155396,2304.42627,500.652191,279.679657,906.377197,598,525.34668
16-04-2020,1149.057251,1688.455078,2216.418457,498.659332,275.437012,875.958862,600.450012,545.124207
15-04-2020,1131.153076,1707.247925,2178.929199,508.67337,271.861755,859.579712,592.349976,556.056519
13-04-2020,1169.814087,1730.960327,2283.610107,510.36731,269.382935,891.491577,592.849976,533.049011
09-04-2020,1200.113159,1737.74939,2547.733398,486.951385,271.575775,921.063599,579.599976,547.211243
08-04-2020,1172.765259,1678.025391,2329.13623,459.998138,261.946442,885.069458,512.75,528.328186
07-04-2020,1186.488525,1746.653809,2249.714844,468.517578,263.328857,892.238342,492.25,497.220886
03-04-2020,1059.93042,1627.599609,2203.938721,422.433075,241.925049,810.342834,449.200012,468.598145
01-04-2020,1062.881592,1681.272461,2215.769775,419.842377,253.937881,826.074768,413.75,481.617523
31-03-2020,1095.640137,1796.735352,2212.225342,439.322388,257.036438,858.185791,422.850006,477.493042
30-03-2020,1013.694641,1749.900879,2238.48291,429.507629,242.211075,828.066162,431.75,464.473663
27-03-2020,1048.273071,1795.161011,2538.19873,447.343597,264.329926,900.552429,407.649994,508.004089
26-03-2020,1048.863281,1762.150513,2789.192871,469.015778,271.194427,897.216797,386.149994,490.413055
25-03-2020,1064.652222,1722.154419,2581.428955,427.564636,273.434875,853.057983,376.450012,470.734894
24-03-2020,928.06012,1675.762451,2470.208496,402.604248,259.229248,764.391724,377.450012,486.93457
23-03-2020,869.67511,1642.850342,2262.493896,405.892456,258.514191,768.225098,375.25,495.431976
20-03-2020,1001.397888,1768.546143,2947.137695,460.994568,283.874603,879.045471,392.799988,534.490051
19-03-2020,902.777954,1610.036621,2741.669922,443.15863,259.181549,891.690735,374.700012,531.906067
18-03-2020,952.751892,1615.98938,3056.411377,424.027313,267.762146,873.121155,385,556.553467
17-03-2020,991.60968,1619.505859,3439.292725,453.073029,269.573608,970.897949,400.709198,566.342773
16-03-2020,999.184448,1657.014282,3666.325684,463.136871,276.104401,995.19281,395.373047,562.367432
13-03-2020,1087.327637,1764.362793,3946.173584,490.090118,311.475525,1065.189941,424.44754,592.828796
12-03-2020,1045.715332,1728.758911,3728.325684,463.286377,274.054596,1016.898865,393.727325,571.307312
11-03-2020,1134.792969,1908.340332,4024.147461,492.033112,285.781403,1109.000244,416.01944,605.366577
09-03-2020,1096.033569,1926.557495,4020.303711,494.474365,307.280548,1102.52832,425.04599,602.404907
06-03-2020,1250.333252,2067.311768,4219.032715,517.292419,335.119812,1130.009277,433.274628,626.937439
05-03-2020,1289.830322,2075.712158,4323.713867,525.014709,358.239746,1146.388428,439.458557,627.184265
04-03-2020,1317.916138,2034.83374,4279.484863,514.901001,359.574493,1143.89917,446.490295,624.864319
03-03-2020,1321.014771,1988.925171,4446.914551,518.936523,369.489838,1176.707275,424.198181,630.3927
02-03-2020,1294.749023,1954.835327,4343.730957,516.495239,347.084961,1174.516602,400.908691,619.58252
28-02-2020,1307.045654,1953.711914,4448.421387,521.626831,363.960144,1172.575073,401.058289,605.218445
27-02-2020,1363.709229,2056.615967,4741.223633,529.747742,393.563171,1194.281128,420.108826,630.540771
26-02-2020,1369.365601,2074.295654,4791.227539,534.032288,396.900055,1194.082031,421.106232,638.537292
25-02-2020,1393.368896,2106.089844,4807.115723,533.334778,401.667084,1195.127563,424.696899,635.378174
24-02-2020,1421.454712,2066.237549,4785.20166,528.003967,396.089691,1204.73584,429.035614,618.644775
20-02-2020,1461.787964,2106.724854,4861.402832,543.647766,422.880188,1211.855103,434.621124,614.794617
19-02-2020,1479.347778,2145.356689,4859.012207,541.455688,413.012543,1221.911499,446.340668,610.648193
18-02-2020,1443.539551,2164.306641,4739.430664,546.288269,411.296387,1208.021729,434.870483,592.828796
17-02-2020,1454.213257,2152.096924,4758.007813,562.828857,416.492432,1211.904907,430.781097,595.050049
14-02-2020,1463.411255,2133.48877,4763.088379,562.978333,414.299591,1214.095337,445.941711,603.836426
13-02-2020,1450.179932,2141.058594,4776.635254,538.018005,420.687378,1236.050415,442.251282,609.661011
12-02-2020,1446.392456,2120.351074,4750.089355,537.669189,427.075195,1243.617554,445.642487,609.759705
11-02-2020,1429.127808,2103.404053,4730.814453,532.388184,423.404602,1235.253784,449.432648,610.944336
